"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
f5_tx_4,form_5_maternal_history,,dropdown,"Treatment <em>No. 4</em>","1, Colposcopy alone | 2, LLETZ | 3, Laser | 4, Cryotherapy | 5, Other","Leave blank if none",,,,,"[f5_tx_3] <>''",,,,,,
f5_tx_4_other,form_5_maternal_history,,text,"Other treatment (comment)",,,,,,,"[f5_tx_4] = '5'",,,,,,
f5_tx_4_mths,form_5_maternal_history,,radio,"</em>[f5_tx_4]</em> - Last treatment time","1, < 6 months | 2, 6-12 months | 3, >12 months",,,,,,"[f5_tx_4] <>''",,,,,,
f5_tx_4_num,form_5_maternal_history,,text,"</em>[f5_tx_4]</em> - No. of treatments",,,integer,,,,"[f5_tx_4] <>''",,,,,,
ab_f5_22_7392_da6,form_5_maternal_history,,descriptive,"<hr />",,,,,,,"[f5_tx_4] <>''",,,,,,
f5_tx_5,form_5_maternal_history,,dropdown,"Treatment <em>No. 5</em> ","1, Colposcopy alone | 2, LLETZ | 3, Laser | 4, Cryotherapy | 5, Other","Leave blank if none",,,,,"[f5_tx_4] <>''",,,,,,
f5_tx_5_other,form_5_maternal_history,,text,"Other treatment (comment)",,,,,,,"[f5_tx_5] = '5'",,,,,,
f5_tx_5_mths,form_5_maternal_history,,radio,"</em>[f5_tx_5]</em> - Last treatment time","1, < 6 months | 2, 6-12 months | 3, >12 months",,,,,,"[f5_tx_5] <>''",,,,,,
f5_tx_5_num,form_5_maternal_history,,text,"</em>[f5_tx_5]</em> - No. of treatments",,,integer,,,,"[f5_tx_5] <>''",,,,,,
ab_f5_22_7392_da62_019,form_5_maternal_history,,descriptive,"<hr />",,,,,,,"[f5_tx_5] <>''",,,,,,
f5_tx_more,form_5_maternal_history,,notes,"More treatments: (please enter one treatment per line)",,"Treatment, Last treatment time (mths), No. of treatments",,,,,"[f5_tx_5] <>''",,LH,,,,
f5_pco,form_5_maternal_history,,dropdown,PCO,"1, No | 2, Unsure | 3, Yes - by blood | 4, Yes - by scan | 5, Yes - by blood and scan",,,,,,,,,,,,
f5_pco_conception,form_5_maternal_history,,dropdown,"Treatment at conception ","1, No | 2, Yes - fertility drugs | 3, Yes - metformin | 4, Yes - fertility drugs and metformin | 5, Other treatment",,,,,,"[f5_pco] = '3' or [f5_pco] = '4' or [f5_pco] = '5'",,,,,,
